[*] 连接 MKLink（端口: COM7）...
[TX] cmd.get_idcode()
[SERIAL] cmd.get_idcode()
[SERIAL] idcode = 0X2BA01477
[SERIAL] 731911287
[RX] <<<
[OK] 连接成功
[OK] SystemView 已启动 (RTT 控制块: 0x20017158, 通道: 1)
[*] 解码 RTOS 事件 10.0 秒（Ctrl+C 中断）...

[t=2us] trace_start
[t=9us] init
[t=21us] sysdesc
[t=29us] sysdesc
[t=29us] systime_us
[t=29us] isr_exit
[t=29us] overflow
[t=668,916us] user_start         user=0
[t=669,877us] user_stop          user=0
[t=669,883us] user_start         user=0
[t=670,877us] user_stop          user=0
[t=670,883us] user_start         user=0
[t=671,877us] user_stop          user=0
[t=671,883us] user_start         user=0
[t=672,877us] user_stop          user=0
[t=672,883us] user_start         user=0
[t=673,879us] task_stop_exec     id=0x20016A48
[t=673,882us] task_start_exec    id=0x200031EC
[t=673,900us] task_stop_exec     id=0x200031EC
[t=673,903us] task_start_exec    id=0x20016A48
[t=673,906us] idle
[t=673,910us] user_stop          user=0
[t=673,916us] user_start         user=0
[t=674,877us] user_stop          user=0
[t=674,883us] user_start         user=0
[t=675,877us] user_stop          user=0
[t=675,883us] user_start         user=0
[t=676,877us] user_stop          user=0
[t=676,883us] user_start         user=0
[t=677,877us] user_stop          user=0
[t=677,883us] user_start         user=0
[t=678,879us] task_stop_exec     id=0x20016A48
[t=678,882us] task_start_exec    main id=0x20010A54
[t=678,890us] task_stop_exec     main id=0x20010A54
[t=678,893us] task_start_exec    id=0x20006170
[t=678,901us] task_stop_exec     id=0x20006170
[t=678,904us] task_start_exec    id=0x200031EC
[t=678,920us] task_stop_exec     id=0x200031EC
[t=678,923us] task_start_exec    id=0x20006170
[t=678,935us] task_stop_exec     id=0x20006170
[t=678,938us] task_start_exec    main id=0x20010A54
[t=683,879us] task_stop_exec     main id=0x20010A54
[t=683,882us] task_start_exec    id=0x200031EC
[t=683,899us] task_stop_exec     id=0x200031EC
[t=683,902us] task_start_exec    main id=0x20010A54
[t=688,879us] task_stop_exec     main id=0x20010A54
[t=688,882us] task_start_exec    id=0x200031EC
