[*] 连接 MKLink（端口: COM7）...
[TX] cmd.get_idcode()
[SERIAL] cmd.get_idcode()
[SERIAL] idcode = 0X2BA01477
[SERIAL] 731911287
[RX] <<<
[OK] 连接成功
[OK] SystemView 已启动 (RTT 控制块: 0x20017148, 通道: 1)
[*] 解码 RTOS 事件 3.0 秒（Ctrl+C 中断）...

[t=1,286us] task_stop_exec
[t=1,288us] task_start_exec    id=0x200031DC
[t=1,298us] task_stop_exec     id=0x200031DC
[t=1,299us] task_start_exec    id=0x20016A38
[t=1,301us] idle
[t=3,429us] task_stop_exec     id=0x20016A38
[t=3,432us] trace_stop
[t=57,603,013us] task_stop_exec     ble id=0x200031DC
[t=57,603,016us] task_start_exec    id=0x20016A38
[t=57,603,020us] idle
[t=57,605,986us] task_stop_exec     id=0x20016A38
[t=57,605,990us] task_start_exec    ppg id=0x20002A60
[t=57,607,378us] task_stop_exec     ppg id=0x20002A60
[t=57,607,382us] task_start_exec    id=0x20016A38
[t=57,607,386us] idle
[t=57,607,912us] task_stop_exec     id=0x20016A38
[t=57,607,915us] task_start_exec    ppg id=0x20002A60
[t=57,607,940us] task_stop_exec     ppg id=0x20002A60
[t=57,607,944us] task_start_exec    id=0x20016A38
[t=57,607,947us] idle
[t=57,607,986us] task_stop_exec     id=0x20016A38
[t=57,607,990us] task_start_exec    ble id=0x200031DC
[t=57,608,013us] task_stop_exec     ble id=0x200031DC
[t=57,608,017us] task_start_exec    id=0x20016A38
[t=57,608,020us] idle
[t=57,611,986us] task_stop_exec     id=0x20016A38
[t=57,611,990us] task_start_exec    key id=0x20006160
[t=57,612,007us] task_stop_exec     key id=0x20006160
[t=57,612,011us] task_start_exec    id=0x20016A38
[t=57,612,015us] idle
[t=57,612,986us] task_stop_exec     id=0x20016A38
[t=57,612,990us] task_start_exec    ble id=0x200031DC
[t=57,613,013us] task_stop_exec     ble id=0x200031DC
[t=57,613,017us] task_start_exec    id=0x20016A38
[t=57,613,020us] idle
[t=57,616,986us] task_stop_exec     id=0x20016A38
[t=57,616,990us] task_start_exec    ppg id=0x20002A60
[t=57,617,986us] task_stop_exec     ppg id=0x20002A60
[t=57,617,990us] task_start_exec    ble id=0x200031DC
[t=57,618,013us] task_stop_exec     ble id=0x200031DC
[t=57,618,017us] task_start_exec    ppg id=0x20002A60
[t=57,618,378us] task_stop_exec     ppg id=0x20002A60
[t=57,618,382us] task_start_exec    id=0x20016A38
[t=57,618,386us] idle
[t=57,618,911us] task_stop_exec     id=0x20016A38
[t=57,618,915us] task_start_exec    ppg id=0x20002A60
[t=57,618,940us] task_stop_exec     ppg id=0x20002A60
[t=57,618,943us] task_start_exec    id=0x20016A38
[t=57,618,947us] idle
[t=57,622,986us] task_stop_exec     id=0x20016A38
[t=57,622,990us] task_start_exec    ble id=0x200031DC
[t=57,623,013us] task_stop_exec     ble id=0x200031DC
[t=57,623,017us] task_start_exec    id=0x20016A38
[t=57,623,020us] idle
[t=57,627,986us] task_stop_exec     id=0x20016A38
[t=57,627,990us] task_start_exec    ppg id=0x20002A60
[t=57,627,999us] task_stop_exec     ppg id=0x20002A60
[t=57,628,003us] task_start_exec    ble id=0x200031DC
[t=57,628,025us] task_stop_exec     ble id=0x200031DC
[t=57,628,029us] task_start_exec    ppg id=0x20002A60
[t=57,629,416us] task_stop_exec     ppg id=0x20002A60
[t=57,629,420us] task_start_exec    id=0x20016A38
[t=57,629,423us] idle
[t=57,629,949us] task_stop_exec     id=0x20016A38
[t=57,629,953us] task_start_exec    ppg id=0x20002A60
[t=57,629,977us] task_stop_exec     ppg id=0x20002A60
[t=57,629,981us] task_start_exec    id=0x20016A38
[t=57,629,985us] idle
[t=57,631,986us] task_stop_exec     id=0x20016A38
[t=57,631,990us] task_start_exec    key id=0x20006160
[t=57,632,008us] task_stop_exec     key id=0x20006160
[t=57,632,011us] task_start_exec    id=0x20016A38
[t=57,632,015us] idle
[t=57,632,986us] task_stop_exec     id=0x20016A38
[t=57,632,990us] task_start_exec    ble id=0x200031DC
[t=57,633,012us] task_stop_exec     ble id=0x200031DC
[t=57,633,016us] task_start_exec    id=0x20016A38
[t=57,633,020us] idle
[t=57,637,986us] task_stop_exec     id=0x20016A38
[t=57,637,990us] task_start_exec    ble id=0x200031DC
[t=57,638,013us] task_stop_exec     ble id=0x200031DC
[t=57,638,016us] task_start_exec    id=0x20016A38
[t=57,638,020us] idle
[t=57,638,986us] task_stop_exec     id=0x20016A38
[t=57,638,990us] task_start_exec    ppg id=0x20002A60
[t=57,640,078us] task_stop_exec     ppg id=0x20002A60
[t=57,640,082us] task_start_exec    id=0x20016A38
[t=57,640,085us] idle
[t=57,642,986us] task_stop_exec     id=0x20016A38
[t=57,642,990us] task_start_exec    ble id=0x200031DC
[t=57,643,012us] task_stop_exec     ble id=0x200031DC
[t=57,643,016us] task_start_exec    id=0x20016A38
[t=57,643,020us] idle
[t=57,647,986us] task_stop_exec     id=0x20016A38
[t=57,647,990us] task_start_exec    ble id=0x200031DC
[t=57,648,013us] task_stop_exec     ble id=0x200031DC
[t=57,648,017us] task_start_exec    id=0x20016A38
[t=57,648,020us] idle
[t=57,649,986us] task_stop_exec     id=0x20016A38
[t=57,649,990us] task_start_exec    ppg id=0x20002A60
[t=57,651,380us] task_stop_exec     ppg id=0x20002A60
[t=57,651,384us] task_start_exec    id=0x20016A38
[t=57,651,387us] idle
[t=57,651,913us] task_stop_exec     id=0x20016A38
[t=57,651,917us] task_start_exec    ppg id=0x20002A60
[t=57,651,941us] task_stop_exec     ppg id=0x20002A60
[t=57,651,945us] task_start_exec    id=0x20016A38
[t=57,651,949us] idle
[t=57,651,986us] task_stop_exec     id=0x20016A38
[t=57,651,990us] task_start_exec    key id=0x20006160
[t=57,652,007us] task_stop_exec     key id=0x20006160
[t=57,652,011us] task_start_exec    id=0x20016A38
[t=57,652,015us] idle
[t=57,652,986us] task_stop_exec     id=0x20016A38
[t=57,652,990us] task_start_exec    ble id=0x200031DC
[t=57,653,012us] task_stop_exec     ble id=0x200031DC
[t=57,653,016us] task_start_exec    id=0x20016A38
[t=57,653,020us] idle
[t=57,657,986us] task_stop_exec     id=0x20016A38
[t=57,657,990us] task_start_exec    ble id=0x200031DC
[t=57,658,013us] task_stop_exec     ble id=0x200031DC
[t=57,658,016us] task_start_exec    id=0x20016A38
[t=57,658,020us] idle
[t=57,660,986us] task_stop_exec     id=0x20016A38
[t=57,660,990us] task_start_exec    ppg id=0x20002A60
[t=57,662,378us] task_stop_exec     ppg id=0x20002A60
[t=57,662,382us] task_start_exec    id=0x20016A38
[t=57,662,386us] idle
[t=57,662,912us] task_stop_exec     id=0x20016A38
[t=57,662,915us] task_start_exec    ppg id=0x20002A60
[t=57,662,940us] task_stop_exec     ppg id=0x20002A60
[t=57,662,944us] task_start_exec    id=0x20016A38
[t=57,662,947us] idle
[t=57,662,987us] task_stop_exec     id=0x20016A38
[t=57,662,991us] task_start_exec    ble id=0x200031DC
[t=57,663,013us] task_stop_exec     ble id=0x200031DC
[t=57,663,017us] task_start_exec    id=0x20016A38
[t=57,663,020us] idle
[t=57,667,986us] task_stop_exec     id=0x20016A38
[t=57,667,997us] task_info          spo2 id=0x20004D40
[t=57,668,002us] stack_info         spo2 id=0x20004D40
[t=57,668,010us] task_info          ppg id=0x20002A60
[t=57,668,014us] stack_info         ppg id=0x20002A60
[t=57,668,023us] task_info          ble id=0x200031DC
[t=57,668,027us] stack_info         ble id=0x200031DC
[t=57,668,035us] task_info          key id=0x20006160
[t=57,668,040us] stack_info         key id=0x20006160
[t=57,668,049us] task_info          power id=0x20005DE0
[t=57,668,053us] stack_info         power id=0x20005DE0
[t=57,668,062us] task_info          timer id=0x20016DE8
[t=57,668,067us] stack_info         timer id=0x20016DE8
[t=57,668,075us] task_start_exec    ble id=0x200031DC
[t=57,668,098us] task_stop_exec     ble id=0x200031DC
[t=57,668,102us] task_start_exec    id=0x20016A38
[t=57,668,106us] idle
[t=57,671,986us] task_stop_exec     id=0x20016A38
[t=57,671,990us] task_start_exec    key id=0x20006160
[t=57,671,999us] task_stop_exec     key id=0x20006160
[t=57,672,003us] task_start_exec    ppg id=0x20002A60
[t=57,672,986us] task_stop_exec     ppg id=0x20002A60
[t=57,672,990us] task_start_exec    ble id=0x200031DC
[t=57,673,012us] task_stop_exec     ble id=0x200031DC
[t=57,673,016us] task_start_exec    ppg id=0x20002A60
[t=57,673,391us] task_stop_exec     ppg id=0x20002A60
[t=57,673,395us] task_start_exec    key id=0x20006160
[t=57,673,410us] task_stop_exec     key id=0x20006160
[t=57,673,414us] task_start_exec    id=0x20016A38
[t=57,673,418us] idle
[t=57,673,925us] task_stop_exec     id=0x20016A38
