seq,red_raw,ir_raw,red_fir,ir_fir
23122,-41269,-24977,-18057.665860,-118.960323
23123,-41272,-24980,-18037.253034,-10892.376235
23124,-41276,-24986,-18013.986671,-10876.600812
23125,-41275,-24993,-17988.971686,-72.380151
23126,-41268,-24987,-17963.507644,-10841.333312
23127,-41265,-24987,-17938.974790,-10823.719589
23128,-41259,-24987,-17916.712759,-20.506817
23129,-41250,-24983,-17897.898655,-10793.285511
23130,-41245,-24979,-17883.442077,-10782.038457
23131,-41239,-24979,-17873.906780,12.761977
23132,-41236,-24977,-17869.466446,-10769.812159
23133,-41240,-24981,-17869.900140,-10768.983130
23134,-41239,-24988,-17874.625251,15.559237
23135,-41245,-24989,-17882.762618,-10776.383349
23136,-41247,-24993,-17893.228826,-10783.420304
23137,-41249,-24998,-17904.842176,-4.794436
23138,-41255,-24999,-17916.431633,-10800.451135
23139,-41265,-25009,-17926.941036,-10808.948087
23140,-41263,-25010,-17935.514268,-29.665841
23141,-41270,-25016,-17941.555366,-10822.845707
23142,-41280,-25027,-17944.761891,-10827.459349
23143,-41280,-25031,-17945.127630,-43.370534
23144,-41287,-25035,-17942.914734,-10831.325473
23145,-41295,-25045,-17938.604624,-10830.775544
23146,-41295,-25050,-17932.830477,-42.001348
23147,-41303,-25055,-17926.298515,-10826.074529
23148,-41309,-25066,-17919.710205,-10822.662895
23149,-41308,-25068,-17913.690517,-32.148313
23150,-41315,-25070,-17908.729538,-10815.592406
23151,-41325,-25075,-17905.144491,-10812.555994
23152,-41318,-25078,-17903.065571,-23.237541
23153,-41323,-25082,-17902.442592,-10808.466752
23154,-41330,-25085,-17903.074518,-10807.554270
23155,-41326,-25088,-17904.657756,-20.459663
23156,-41331,-25089,-17906.841918,-10807.812590
23157,-41334,-25092,-17909.290268,-10808.783768
23158,-41317,-25089,-17911.735897,-23.265908
23159,-41300,-25077,-17914.023034,-10811.898495
23160,-41275,-25061,-17916.128410,-10813.929970
23161,-41237,-25043,-17918.162777,-29.378257
